Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Requested Bld,Requested Room,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt
CAS AN102 A1,Human Biology,Hodges-Simeo,4,Lecture,18,200,KCB,101,COM,101,"Mon,Wed,Fri",10:00am,11:00am,,20226,1/20/2016,4/29/2016
CAS AN102 A2,Human Biology,Hodges-Simeo,0,Lab,2,25,CAS,335,CAS,335,Tue,11:00am, 1:00pm,,20226,1/19/2016,4/26/2016
CAS AN102 A3,Human Biology,Hodges-Simeo,0,Lab,3,25,CAS,335,CAS,335,Tue, 1:00pm, 3:00pm,,20226,1/19/2016,4/26/2016
CAS AN102 A4,Human Biology,Hodges-Simeo,0,Lab,3,25,CAS,335,CAS,335,Mon, 4:00pm, 6:00pm,,20226,1/25/2016,4/25/2016
CAS AN102 A5,Human Biology,Hodges-Simeo,0,Lab,0,25,CAS,335,CAS,335,Tue, 9:00am,11:00am,,20226,1/19/2016,4/26/2016
CAS AN102 A6,Human Biology,Hodges-Simeo,0,Lab,0,25,CAS,335,CAS,335,Tue, 4:00pm, 6:00pm,,20226,1/19/2016,4/26/2016
CAS AN102 A7,Human Biology,Hodges-Simeo,0,Lab,Cancelled,Cancelled,,,CAS,335,Thu, 8:00am,10:00am,,20226,1/21/2016,4/28/2016
CAS AN102 A8,Human Biology,Hodges-Simeo,0,Lab,1,25,CAS,335,CAS,335,Thu,11:00am, 1:00pm,,20226,1/21/2016,4/28/2016
CAS AN102 A9,Human Biology,Hodges-Simeo,0,Lab,5,25,CAS,335,CAS,335,Fri,12:00pm, 2:00pm,,20226,1/22/2016,4/29/2016
CAS AN102 B1,Human Biology,Hodges-Simeo,0,Lab,3,25,CAS,335,CAS,335,Thu, 4:00pm, 6:00pm,,20226,1/21/2016,4/28/2016
CAS AN102 B2,Human Biology,Hodges-Simeo,0,Lab,1,25,CAS,335,CAS,335,Fri, 2:00pm, 4:00pm,,20226,1/22/2016,4/29/2016
CAS AN210 A1,Medical Anthro,Ostrach,4,Independent,48,62,KCB,106,,,"Tue,Thu", 9:30am,11:00am,,,1/19/2016,4/28/2016
CAS AN260 A1,Sex and Gender,LaPorte,4,Lecture,9,60,CAS,216,CAS,216,"Tue,Thu", 3:30pm, 5:00pm,,20226,1/19/2016,4/28/2016
CAS AN260 A2,Sex and Gender,,0,Discussion,Cancelled,Cancelled,,,CAS,237,Wed, 9:00am,10:00am,,20226,1/20/2016,4/27/2016
CAS AN260 A3,Sex and Gender,,0,Discussion,Cancelled,Cancelled,,,CAS,323A,Tue, 2:00pm, 3:00pm,,20226,1/19/2016,4/26/2016
CAS AN260 A4,Sex and Gender,,0,Discussion,Cancelled,Cancelled,,,PSY,B53,Wed, 4:00pm, 5:00pm,,20226,1/20/2016,4/27/2016
CAS AN263 A1,Behav Bio Women,Knott,4,Lecture,36,78,EPC,207,EPC,207,"Tue,Thu", 2:00pm, 3:30pm,,20226,1/19/2016,4/28/2016
CAS AN263 A2,Behav Bio Women,Knott,0,Discussion,14,26,CAS,B25A,CAS,B06A,Tue,12:30pm, 1:30pm,,20226,1/19/2016,4/26/2016
CAS AN263 A3,Behav Bio Women,Knott,0,Discussion,11,26,MUG,205,MUG,205,Wed,12:00pm, 1:00pm,,20226,1/20/2016,4/27/2016
CAS AN263 A4,Behav Bio Women,Knott,0,Discussion,10,26,CAS,221,CAS,204A,Mon, 1:00pm, 2:00pm,,20226,1/25/2016,4/25/2016
CAS AN307 A1,Turk&Me Perspec,White,4,Independent,5,30,MUG,205,CAS,B06B,"Tue,Thu",11:00am,12:30pm,Mts w/GRS AN707,20226,1/19/2016,4/28/2016
CAS AN316 A1,Cul Anthro Eur,Arkin,4,Independent,5,30,CAS,213,CAS,222,"Mon,Wed,Fri",10:00am,11:00am,mts w/AN716A1,20226,1/20/2016,4/29/2016
CAS AN317 A1,Middle East,White,4,Independent,Cancelled,Cancelled,,,,,"Tue,Thu", 2:00pm, 3:30pm,meets w/AN717A1,,1/19/2016,4/28/2016
CAS AN319 A1,Muslim Cultures,Norton,4,Independent,21,30,CAS,B25A,,,"Tue,Thu",11:00am,12:30pm,,,1/19/2016,4/28/2016
CAS AN331 A1,Human Origins,Schmitt,4,Independent,8,30,CAS,B18A,,,"Mon,Wed,Fri", 2:00pm, 3:00pm,Mts w/GRS AN731,,1/20/2016,4/29/2016
CAS AN336 A1,Prim Evol Ecol,Schmitt,4,Independent,12,30,CAS,B36,CAS,B18A,"Mon,Wed,Fri",11:00am,12:00pm,Mts w/GRS AN736,,1/20/2016,4/29/2016
CAS AN337 A1,Creation&Evolut,Cartmill,4,Independent,10,30,CAS,323B,CAS,312,"Tue,Thu",12:30pm, 2:00pm,,,1/19/2016,4/28/2016
CAS AN360 A1,Nomads,Barfield,4,Independent,3,25,CAS,235,CAS,201,"Tue,Thu", 9:30am,11:00am,Mts w/GRS AN760,,1/19/2016,4/28/2016
CAS AN363 A1,Food and Water,Shipton,4,Independent,11,30,CAS,225,,,"Mon,Wed", 3:00pm, 4:30pm,,,1/20/2016,4/27/2016
CAS AN384 A1,Anthro Religion,Korom,4,Independent,5,30,CAS,315,CAS,315,"Tue,Thu", 9:30am,11:00am,Mts w/GRS RN687 Mts w/CAS RN387 Mts w/STH TX887 Mts w/GRS AN784,20226,1/19/2016,4/28/2016
CAS AN438 A1,Americanculture,Ferraiuolo,4,Independent,0,35,CAS,226,CAS,213,"Mon,Wed,Fri",12:00pm, 1:00pm,,20226,1/20/2016,4/29/2016
CAS AN462 A1,Eth&an Theory 2,White,4,Independent,5,15,PLS,102,PLS,102,Tue, 1:00pm, 4:00pm,Permission Required,20226,1/19/2016,4/26/2016
CAS AN510 A1,Proposal Prep,Arkin,4,Independent,0,6,STO,243,STO,243,Mon, 4:00pm, 7:00pm,Permission Required,20226,1/25/2016,4/25/2016
CAS AN524 A1,Lang Contact,Ngom,4,Independent,5,15,ARR,ARR,ARR,ARR,"Mon,Wed,Fri", 1:00pm, 2:00pm,,,1/20/2016,4/29/2016
CAS AN555 A1,Evo Medicine,Hodges-Simeo,4,Independent,15,15,STH,317,,,Fri, 1:00pm, 4:00pm,Class Full,,1/22/2016,4/29/2016
CAS AN563 A1,Relig & Pol,Hefner,4,Independent,4,8,CGS,121,,,Wed, 1:00pm, 4:00pm,Mts w/CAS IR563,,1/20/2016,4/27/2016
CAS AN568 A1,Symbol Myth Rit,Seligman,4,Independent,0,7,STH,B22,STH,B22,"Tue,Thu",11:00am,12:30pm,Mts w/CASRN468 Mts w/GRSRN768 Mts w/CAS RN468 Mts w/GRS RN768 Mts w/STH TX868,20226,1/19/2016,4/28/2016
CAS AN573 A1,Ethn China/Taiw,Weller,4,Independent,9,30,STH,B22,,,Fri, 1:00pm, 4:00pm,,,1/22/2016,4/29/2016
CAS AN594 A1,Sem: Culturalan,Smith-Hefner,4,Independent,6,15,PLS,102,,,Fri, 2:00pm, 5:00pm,,,1/22/2016,4/29/2016
CAS AR100 AA,Gr Disc Arch,Bard,4,Lecture,47,250,LAW,AUD,LAW,AUD,"Tue,Thu", 2:00pm, 3:30pm,,20231,1/19/2016,4/28/2016
CAS AR100 AC,Gr Disc Arch,Bard,0,Discussion,5,20,STO,253,STO,253,Mon, 4:00pm, 5:00pm,,20231,1/25/2016,4/25/2016
CAS AR100 AD,Gr Disc Arch,Bard,0,Discussion,5,20,STO,253,STO,253,Mon,12:00pm, 1:00pm,,20231,1/25/2016,4/25/2016
CAS AR100 AF,Gr Disc Arch,Bard,0,Discussion,3,20,CAS,335,CAS,335,Wed,10:00am,11:00am,,20231,1/20/2016,4/27/2016
CAS AR100 AG,Gr Disc Arch,Bard,0,Discussion,10,20,CAS,335,CAS,335,Wed,11:00am,12:00pm,,20231,1/20/2016,4/27/2016
CAS AR100 AH,Gr Disc Arch,Bard,0,Discussion,8,25,CAS,335,CAS,335,Wed,12:00pm, 1:00pm,,20231,1/20/2016,4/27/2016
CAS AR100 AI,Gr Disc Arch,Bard,0,Discussion,2,25,CAS,335,CAS,335,Wed, 3:00pm, 4:00pm,,20231,1/20/2016,4/27/2016
CAS AR100 AJ,Gr Disc Arch,Bard,0,Discussion,8,20,STO,253,STO,253,Tue,12:30pm, 1:30pm,,20231,1/19/2016,4/26/2016
CAS AR100 AK,Gr Disc Arch,Bard,0,Discussion,0,25,STO,253,STO,253,Tue,10:00am,11:00am,,20231,1/19/2016,4/26/2016
CAS AR100 AL,Gr Disc Arch,Bard,0,Discussion,3,15,STO,243,STO,253,Mon, 3:00pm, 4:00pm,,20231,1/25/2016,4/25/2016
CAS AR100 AM,Gr Disc Arch,Bard,0,Discussion,1,25,STO,253,STO,253,Thu,12:30pm, 1:30pm,,20231,1/21/2016,4/28/2016
CAS AR100 AO,Gr Disc Arch,Bard,0,Discussion,1,20,STO,253,STO,253,Mon, 1:00pm, 2:00pm,,20231,1/25/2016,4/25/2016
CAS AR100 AR,Gr Disc Arch,Bard,0,Discussion,1,20,CAS,335,CAS,335,Wed, 4:00pm, 5:00pm,,20231,1/20/2016,4/27/2016
CAS AR101 A1,Archaeology,Murowchick,4,Lecture,7,78,CAS,316,CAS,316,"Tue,Thu", 2:00pm, 3:30pm,,20231,1/19/2016,4/28/2016
CAS AR101 B5,Archaeology,Murowchick,0,Discussion,3,20,STO,253,STO,253,Thu,10:00am,11:00am,,20231,1/21/2016,4/28/2016
CAS AR101 B6,Archaeology,Murowchick,0,Discussion,1,19,STO,253,STO,253,Tue, 9:00am,10:00am,,20231,1/19/2016,4/26/2016
CAS AR101 B7,Archaeology,Murowchick,0,Discussion,1,20,STO,253,STO,253,Tue,11:00am,12:00pm,,20231,1/19/2016,4/26/2016
CAS AR101 B8,Archaeology,Murowchick,0,Discussion,2,19,STO,253,STO,253,Thu,11:00am,12:00pm,,20231,1/21/2016,4/28/2016
CAS AR150 A1,Arch of Cities,Carballo,4,Independent,18,28,STO,253,CAS,223,"Mon,Wed", 2:00pm, 3:30pm,,,1/20/2016,4/27/2016
CAS AR201 A1,Amer Pre-Columb,Carballo,4,Independent,12,20,STO,253,CAS,114A,"Mon,Wed,Fri",11:00am,12:00pm,,,1/20/2016,4/29/2016
CAS AR202 A1,Arch Mysteries,Runnels,4,Independent,14,20,CAS,116,CAS,114B,"Mon,Wed,Fri",10:00am,11:00am,,,1/20/2016,4/29/2016
CAS AR215 A1,Contested Past,Elia,4,Independent,5,20,STO,253,STO,253,"Tue,Thu", 3:30pm, 5:00pm,,20231,1/19/2016,4/28/2016
CAS AR308 A1,Arch Research,West,4,Independent,9,15,CAS,ARR,CAS,ARR,"Tue,Thu",11:00am,12:30pm,Room is CAS 230,20231,1/19/2016,4/28/2016
CAS AR330 A1,Grk Archaeology,Berlin,4,Independent,15,20,CAS,425,CAS,114B,"Tue,Thu",12:30pm, 2:00pm,,,1/19/2016,4/28/2016
CAS AR347 A1,Egypt/Ne Africa,Bard,4,Independent,0,20,CAS,214,CAS,204B,"Tue,Thu",11:00am,12:30pm,Mts w/GRS AR747,,1/19/2016,4/28/2016
CAS AR390 A1,Archae Se Asia,Murowchick,4,Independent,1,15,CAS,228,CAS,220,"Tue,Thu", 9:30am,11:00am,mts w/GRS AR790,20231,1/19/2016,4/28/2016
CAS AR450 A1,Arch Methods,West,4,Independent,9,15,CAS,335,CAS,335,Mon, 1:00pm, 4:00pm,,,1/25/2016,4/25/2016
CAS AR500 A1,US Public Arch,Elia,4,Independent,2,15,STO,243,,,Thu,11:00am, 2:00pm,,,1/21/2016,4/28/2016
CAS AR590 A1,Ceramic Studies,Berlin,4,Independent,Cancelled,Cancelled,,,STO,253,Mon, 9:00am,12:00pm,,20231,1/25/2016,4/25/2016
CAS AS100 A1,Cosmic Controvs,Mendillo,4,Lecture,21,96,CAS,522,CAS,522,"Mon,Wed,Fri", 1:00pm, 2:00pm,,20201,1/20/2016,4/29/2016
CAS AS100 A2,Cosmic Controvs,Mendillo,0,Discussion,4,16,CAS,521,CAS,521,Mon,11:00am,12:00pm,,20201,1/25/2016,4/25/2016
CAS AS100 A3,Cosmic Controvs,Mendillo,0,Discussion,3,16,CAS,521,CAS,521,Thu,11:30am,12:30pm,,20201,1/21/2016,4/28/2016
CAS AS100 A4,Cosmic Controvs,Mendillo,0,Discussion,3,16,CAS,521,CAS,521,Fri,12:00pm, 1:00pm,,20201,1/22/2016,4/29/2016
CAS AS100 A5,Cosmic Controvs,Mendillo,0,Discussion,1,16,CAS,521,CAS,521,Wed,12:00pm, 1:00pm,,20201,1/20/2016,4/27/2016
CAS AS100 A6,Cosmic Controvs,Mendillo,0,Discussion,8,16,CAS,521,CAS,521,Tue, 1:00pm, 2:00pm,,20201,1/19/2016,4/26/2016
CAS AS100 A7,Cosmic Controvs,Mendillo,0,Discussion,1,16,CAS,521,CAS,521,Mon, 2:30pm, 3:30pm,,20201,1/25/2016,4/25/2016
CAS AS101 A1,Th Solar System,Muirhead,4,Lecture,18,96,CAS,522,CAS,522,"Mon,Wed,Fri",11:00am,12:00pm,,20201,1/20/2016,4/29/2016
CAS AS101 A2,Th Solar System,Muirhead,0,Lab,2,16,CAS,521,CAS,521,Fri, 1:30pm, 3:00pm,,20201,1/22/2016,4/29/2016
CAS AS101 A3,Th Solar System,Muirhead,0,Lab,1,16,CAS,521,CAS,521,Tue, 2:00pm, 3:30pm,,20201,1/19/2016,4/26/2016
CAS AS101 A4,Th Solar System,Muirhead,0,Lab,3,16,CAS,521,CAS,521,Tue,11:00am,12:30pm,,20201,1/19/2016,4/26/2016
CAS AS101 A5,Th Solar System,Muirhead,0,Lab,3,16,CAS,521,CAS,521,Thu,12:30pm, 2:00pm,,20201,1/21/2016,4/28/2016
CAS AS101 A6,Th Solar System,Muirhead,0,Lab,8,16,CAS,521,CAS,521,Wed, 3:30pm, 5:00pm,,20201,1/20/2016,4/27/2016
CAS AS101 A7,Th Solar System,Muirhead,0,Lab,1,16,CAS,521,CAS,521,Mon, 1:00pm, 2:30pm,,20201,1/25/2016,4/25/2016
CAS AS102 A1,The Astron Univ,TBA,4,Lecture,8,64,CAS,314,CAS,314,"Tue,Thu",11:00am,12:30pm,,20201,1/19/2016,4/28/2016
CAS AS102 A2,The Astron Univ,TBA,0,Lab,3,16,CAS,B04,CAS,B04,Tue,12:30pm, 2:00pm,,20201,1/19/2016,4/26/2016
CAS AS102 A3,The Astron Univ,TBA,0,Lab,1,16,CAS,B04,CAS,B04,Mon, 2:00pm, 3:30pm,,20201,1/25/2016,4/25/2016
CAS AS102 A4,The Astron Univ,TBA,0,Lab,3,16,CAS,B04,CAS,B04,Thu, 2:00pm, 3:30pm,,20201,1/21/2016,4/28/2016
CAS AS102 A5,The Astron Univ,TBA,0,Lab,1,16,CAS,B04,CAS,B04,Wed,12:00pm, 1:30pm,,20201,1/20/2016,4/27/2016
CAS AS105 A1,Alien Worlds,Muirhead,4,Lecture,44,96,CAS,522,CAS,522,"Tue,Thu", 3:30pm, 5:00pm,,,1/19/2016,4/28/2016
CAS AS105 A2,Alien Worlds,Muirhead,0,Discussion,16,16,CAS,B04,CAS,B04,Mon, 1:00pm, 2:00pm,Class Full,,1/25/2016,4/25/2016
CAS AS105 A3,Alien Worlds,Muirhead,0,Discussion,7,16,CAS,B04,CAS,B04,Tue, 2:00pm, 3:00pm,,,1/19/2016,4/26/2016
CAS AS105 A4,Alien Worlds,Muirhead,0,Discussion,8,16,CAS,B04,CAS,B04,Thu, 1:00pm, 2:00pm,,,1/21/2016,4/28/2016
CAS AS105 A5,Alien Worlds,Muirhead,0,Discussion,5,16,CAS,B04,CAS,B04,Wed, 2:00pm, 3:00pm,,,1/20/2016,4/27/2016
CAS AS105 A6,Alien Worlds,Muirhead,0,Discussion,7,16,CAS,B04,CAS,B04,Tue, 5:00pm, 6:00pm,,,1/19/2016,4/26/2016
